plz,Paragraph,Revier
04626,§11/12,Steinkohlenbergbaugebiete
15938,§2,Lausitzer Braunkohlerevier
04618,§11/12,Steinkohlenbergbaugebiete
03238,§2,Lausitzer Braunkohlerevier
02826,§2,Lausitzer Braunkohlerevier
02827,§2,Lausitzer Braunkohlerevier
02828,§2,Lausitzer Braunkohlerevier
06667,§2,Mitteldeutsches Braunkohlerevier
04639,§11/12,Steinkohlenbergbaugebiete
18181,§11/12,Steinkohlenbergbaugebiete
38462,§11/12,Steinkohlenbergbaugebiete
18195,§11/12,Steinkohlenbergbaugebiete
38368,§11/12,Steinkohlenbergbaugebiete
41515,§2,Rheinisches Braunkohlerevier
41516,§2,Rheinisches Braunkohlerevier
41517,§2,Rheinisches Braunkohlerevier
04668,§2,Mitteldeutsches Braunkohlerevier
04932,§2,Lausitzer Braunkohlerevier
04539,§2,Mitteldeutsches Braunkohlerevier
02953,§2,Lausitzer Braunkohlerevier
02959,§2,Lausitzer Braunkohlerevier
02694,§2,Lausitzer Braunkohlerevier
01909,§2,Lausitzer Braunkohlerevier
01990,§2,Lausitzer Braunkohlerevier
15746,§2,Lausitzer Braunkohlerevier
01936,§2,Lausitzer Braunkohlerevier
04463,§2,Mitteldeutsches Braunkohlerevier
02692,§2,Lausitzer Braunkohlerevier
01983,§2,Lausitzer Braunkohlerevier
17166,§11/12,Steinkohlenbergbaugebiete
01900,§2,Lausitzer Braunkohlerevier
66352,§11/12,Steinkohlenbergbaugebiete
03149,§2,Lausitzer Braunkohlerevier
02779,§2,Lausitzer Braunkohlerevier
02799,§2,Lausitzer Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
04932,§2,Lausitzer Braunkohlerevier
38464,§11/12,Steinkohlenbergbaugebiete
17166,§11/12,Steinkohlenbergbaugebiete
17168,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
03172,§2,Lausitzer Braunkohlerevier
03096,§2,Lausitzer Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
18273,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
06712,§2,Mitteldeutsches Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
02923,§2,Lausitzer Braunkohlerevier
02779,§2,Lausitzer Braunkohlerevier
15757,§2,Lausitzer Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
01920,§2,Lausitzer Braunkohlerevier
15926,§2,Lausitzer Braunkohlerevier
03238,§2,Lausitzer Braunkohlerevier
15754,§2,Lausitzer Braunkohlerevier
52396,§2,Rheinisches Braunkohlerevier
03185,§2,Lausitzer Braunkohlerevier
52525,§2,Rheinisches Braunkohlerevier
06311,§2,Mitteldeutsches Braunkohlerevier
53940,§2,Rheinisches Braunkohlerevier
38350,§11/12,Steinkohlenbergbaugebiete
38372,§11/12,Steinkohlenbergbaugebiete
06313,§2,Mitteldeutsches Braunkohlerevier
01945,§2,Lausitzer Braunkohlerevier
02747,§2,Lausitzer Braunkohlerevier
04916,§2,Lausitzer Braunkohlerevier
52134,§2,Rheinisches Braunkohlerevier
06333,§2,Mitteldeutsches Braunkohlerevier
04626,§11/12,Steinkohlenbergbaugebiete
66265,§11/12,Steinkohlenbergbaugebiete
04626,§11/12,Steinkohlenbergbaugebiete
04932,§2,Lausitzer Braunkohlerevier
02627,§2,Lausitzer Braunkohlerevier
01945,§2,Lausitzer Braunkohlerevier
04936,§2,Lausitzer Braunkohlerevier
17166,§11/12,Steinkohlenbergbaugebiete
02906,§2,Lausitzer Braunkohlerevier
18209,§11/12,Steinkohlenbergbaugebiete
18211,§11/12,Steinkohlenbergbaugebiete
04934,§2,Lausitzer Braunkohlerevier
06679,§2,Mitteldeutsches Braunkohlerevier
18299,§11/12,Steinkohlenbergbaugebiete
59439,§11/12,Steinkohlenbergbaugebiete
18292,§11/12,Steinkohlenbergbaugebiete
02923,§2,Lausitzer Braunkohlerevier
02977,§2,Lausitzer Braunkohlerevier
41836,§2,Rheinisches Braunkohlerevier
52393,§2,Rheinisches Braunkohlerevier
50354,§2,Rheinisches Braunkohlerevier
52459,§2,Rheinisches Braunkohlerevier
15868,§2,Lausitzer Braunkohlerevier
03130,§2,Lausitzer Braunkohlerevier
03172,§2,Lausitzer Braunkohlerevier
03197,§2,Lausitzer Braunkohlerevier
38381,§11/12,Steinkohlenbergbaugebiete
04838,§2,Mitteldeutsches Braunkohlerevier
04626,§11/12,Steinkohlenbergbaugebiete
02796,§2,Lausitzer Braunkohlerevier
17168,§11/12,Steinkohlenbergbaugebiete
41363,§2,Rheinisches Braunkohlerevier
52428,§2,Rheinisches Braunkohlerevier
18246,§11/12,Steinkohlenbergbaugebiete
41564,§2,Rheinisches Braunkohlerevier
06184,§2,Mitteldeutsches Braunkohlerevier
06642,§2,Mitteldeutsches Braunkohlerevier
53925,§2,Rheinisches Braunkohlerevier
59174,§11/12,Steinkohlenbergbaugebiete
01917,§2,Lausitzer Braunkohlerevier
06638,§2,Mitteldeutsches Braunkohlerevier
15938,§2,Lausitzer Braunkohlerevier
18258,§11/12,Steinkohlenbergbaugebiete
06537,§2,Mitteldeutsches Braunkohlerevier
50169,§2,Rheinisches Braunkohlerevier
50170,§2,Rheinisches Braunkohlerevier
50171,§2,Rheinisches Braunkohlerevier
04567,§2,Mitteldeutsches Braunkohlerevier
18246,§11/12,Steinkohlenbergbaugebiete
66271,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
06308,§2,Mitteldeutsches Braunkohlerevier
02923,§2,Lausitzer Braunkohlerevier
03099,§2,Lausitzer Braunkohlerevier
01936,§2,Lausitzer Braunkohlerevier
02829,§2,Lausitzer Braunkohlerevier
38154,§11/12,Steinkohlenbergbaugebiete
02699,§2,Lausitzer Braunkohlerevier
15711,§2,Lausitzer Braunkohlerevier
15712,§2,Lausitzer Braunkohlerevier
15713,§2,Lausitzer Braunkohlerevier
41352,§2,Rheinisches Braunkohlerevier
06366,§2,Mitteldeutsches Braunkohlerevier
06369,§2,Mitteldeutsches Braunkohlerevier
06388,§2,Mitteldeutsches Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
02739,§2,Lausitzer Braunkohlerevier
18292,§11/12,Steinkohlenbergbaugebiete
02957,§2,Lausitzer Braunkohlerevier
15910,§2,Lausitzer Braunkohlerevier
02906,§2,Lausitzer Braunkohlerevier
04916,§2,Lausitzer Braunkohlerevier
04936,§2,Lausitzer Braunkohlerevier
06712,§2,Mitteldeutsches Braunkohlerevier
52372,§2,Rheinisches Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
18198,§11/12,Steinkohlenbergbaugebiete
18236,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
04509,§2,Mitteldeutsches Braunkohlerevier
02627,§2,Lausitzer Braunkohlerevier
18292,§11/12,Steinkohlenbergbaugebiete
18225,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
18299,§11/12,Steinkohlenbergbaugebiete
18279,§11/12,Steinkohlenbergbaugebiete
18069,§11/12,Steinkohlenbergbaugebiete
06188,§2,Mitteldeutsches Braunkohlerevier
04618,§11/12,Steinkohlenbergbaugebiete
52379,§2,Rheinisches Braunkohlerevier
06628,§2,Mitteldeutsches Braunkohlerevier
06636,§2,Mitteldeutsches Braunkohlerevier
01979,§2,Lausitzer Braunkohlerevier
04838,§2,Mitteldeutsches Braunkohlerevier
04849,§2,Mitteldeutsches Braunkohlerevier
01936,§2,Lausitzer Braunkohlerevier
02991,§2,Lausitzer Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
66822,§11/12,Steinkohlenbergbaugebiete
04936,§2,Lausitzer Braunkohlerevier
38165,§11/12,Steinkohlenbergbaugebiete
17168,§11/12,Steinkohlenbergbaugebiete
06237,§2,Mitteldeutsches Braunkohlerevier
02794,§2,Lausitzer Braunkohlerevier
01896,§2,Lausitzer Braunkohlerevier
03238,§2,Lausitzer Braunkohlerevier
15868,§2,Lausitzer Braunkohlerevier
04758,§2,Mitteldeutsches Braunkohlerevier
01945,§2,Lausitzer Braunkohlerevier
52441,§2,Rheinisches Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
04626,§11/12,Steinkohlenbergbaugebiete
04509,§2,Mitteldeutsches Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
02999,§2,Lausitzer Braunkohlerevier
04808,§2,Mitteldeutsches Braunkohlerevier
03222,§2,Lausitzer Braunkohlerevier
15907,§2,Lausitzer Braunkohlerevier
04613,§11/12,Steinkohlenbergbaugebiete
03229,§2,Lausitzer Braunkohlerevier
15926,§2,Lausitzer Braunkohlerevier
44532,§11/12,Steinkohlenbergbaugebiete
44534,§11/12,Steinkohlenbergbaugebiete
44536,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
06295,§2,Mitteldeutsches Braunkohlerevier
06686,§2,Mitteldeutsches Braunkohlerevier
04827,§2,Mitteldeutsches Braunkohlerevier
02694,§2,Lausitzer Braunkohlerevier
06343,§2,Mitteldeutsches Braunkohlerevier
38368,§11/12,Steinkohlenbergbaugebiete
02829,§2,Lausitzer Braunkohlerevier
15748,§2,Lausitzer Braunkohlerevier
15913,§2,Lausitzer Braunkohlerevier
04416,§2,Mitteldeutsches Braunkohlerevier
04420,§2,Mitteldeutsches Braunkohlerevier
03238,§2,Lausitzer Braunkohlerevier
03246,§2,Lausitzer Braunkohlerevier
53894,§2,Rheinisches Braunkohlerevier
40667,§2,Rheinisches Braunkohlerevier
40668,§2,Rheinisches Braunkohlerevier
40670,§2,Rheinisches Braunkohlerevier
04626,§11/12,Steinkohlenbergbaugebiete
06721,§2,Mitteldeutsches Braunkohlerevier
06217,§2,Mitteldeutsches Braunkohlerevier
06618,§2,Mitteldeutsches Braunkohlerevier
04932,§2,Lausitzer Braunkohlerevier
52399,§2,Rheinisches Braunkohlerevier
04610,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
02763,§2,Lausitzer Braunkohlerevier
15749,§2,Lausitzer Braunkohlerevier
04862,§2,Mitteldeutsches Braunkohlerevier
06618,§2,Mitteldeutsches Braunkohlerevier
18182,§11/12,Steinkohlenbergbaugebiete
52156,§2,Rheinisches Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
06249,§2,Mitteldeutsches Braunkohlerevier
06255,§2,Mitteldeutsches Braunkohlerevier
06268,§2,Mitteldeutsches Braunkohlerevier
06632,§2,Mitteldeutsches Braunkohlerevier
02906,§2,Lausitzer Braunkohlerevier
04769,§2,Mitteldeutsches Braunkohlerevier
04895,§2,Lausitzer Braunkohlerevier
04931,§2,Lausitzer Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
06774,§2,Mitteldeutsches Braunkohlerevier
15748,§2,Lausitzer Braunkohlerevier
66809,§11/12,Steinkohlenbergbaugebiete
06618,§2,Mitteldeutsches Braunkohlerevier
06628,§2,Mitteldeutsches Braunkohlerevier
04769,§2,Mitteldeutsches Braunkohlerevier
04683,§2,Mitteldeutsches Braunkohlerevier
01920,§2,Lausitzer Braunkohlerevier
06642,§2,Mitteldeutsches Braunkohlerevier
02829,§2,Lausitzer Braunkohlerevier
03159,§2,Lausitzer Braunkohlerevier
06268,§2,Mitteldeutsches Braunkohlerevier
02699,§2,Lausitzer Braunkohlerevier
53947,§2,Rheinisches Braunkohlerevier
18233,§11/12,Steinkohlenbergbaugebiete
03058,§2,Lausitzer Braunkohlerevier
04575,§2,Mitteldeutsches Braunkohlerevier
01936,§2,Lausitzer Braunkohlerevier
01904,§2,Lausitzer Braunkohlerevier
03103,§2,Lausitzer Braunkohlerevier
02742,§2,Lausitzer Braunkohlerevier
03103,§2,Lausitzer Braunkohlerevier
41460,§2,Rheinisches Braunkohlerevier
41462,§2,Rheinisches Braunkohlerevier
41464,§2,Rheinisches Braunkohlerevier
41466,§2,Rheinisches Braunkohlerevier
41468,§2,Rheinisches Braunkohlerevier
41469,§2,Rheinisches Braunkohlerevier
41470,§2,Rheinisches Braunkohlerevier
41472,§2,Rheinisches Braunkohlerevier
15913,§2,Lausitzer Braunkohlerevier
52385,§2,Rheinisches Braunkohlerevier
52382,§2,Rheinisches Braunkohlerevier
18211,§11/12,Steinkohlenbergbaugebiete
02906,§2,Lausitzer Braunkohlerevier
04603,§11/12,Steinkohlenbergbaugebiete
52388,§2,Rheinisches Braunkohlerevier
18195,§11/12,Steinkohlenbergbaugebiete
02692,§2,Lausitzer Braunkohlerevier
06268,§2,Mitteldeutsches Braunkohlerevier
02791,§2,Lausitzer Braunkohlerevier
01896,§2,Lausitzer Braunkohlerevier
02785,§2,Lausitzer Braunkohlerevier
02736,§2,Lausitzer Braunkohlerevier
01990,§2,Lausitzer Braunkohlerevier
04758,§2,Mitteldeutsches Braunkohlerevier
01920,§2,Lausitzer Braunkohlerevier
06721,§2,Mitteldeutsches Braunkohlerevier
06386,§2,Mitteldeutsches Braunkohlerevier
02899,§2,Lausitzer Braunkohlerevier
01458,§2,Lausitzer Braunkohlerevier
04668,§2,Mitteldeutsches Braunkohlerevier
02797,§2,Lausitzer Braunkohlerevier
01920,§2,Lausitzer Braunkohlerevier
18059,§11/12,Steinkohlenbergbaugebiete
04668,§2,Mitteldeutsches Braunkohlerevier
04523,§2,Mitteldeutsches Braunkohlerevier
03185,§2,Lausitzer Braunkohlerevier
18249,§11/12,Steinkohlenbergbaugebiete
06193,§2,Mitteldeutsches Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
04928,§2,Lausitzer Braunkohlerevier
18059,§11/12,Steinkohlenbergbaugebiete
04639,§11/12,Steinkohlenbergbaugebiete
18184,§11/12,Steinkohlenbergbaugebiete
04626,§11/12,Steinkohlenbergbaugebiete
17168,§11/12,Steinkohlenbergbaugebiete
50259,§2,Rheinisches Braunkohlerevier
01896,§2,Lausitzer Braunkohlerevier
02699,§2,Lausitzer Braunkohlerevier
66346,§11/12,Steinkohlenbergbaugebiete
38368,§11/12,Steinkohlenbergbaugebiete
06268,§2,Mitteldeutsches Braunkohlerevier
66287,§11/12,Steinkohlenbergbaugebiete
02906,§2,Lausitzer Braunkohlerevier
38375,§11/12,Steinkohlenbergbaugebiete
01920,§2,Lausitzer Braunkohlerevier
04519,§2,Mitteldeutsches Braunkohlerevier
01454,§2,Lausitzer Braunkohlerevier
02627,§2,Lausitzer Braunkohlerevier
06779,§2,Mitteldeutsches Braunkohlerevier
06800,§2,Mitteldeutsches Braunkohlerevier
01920,§2,Lausitzer Braunkohlerevier
01877,§2,Lausitzer Braunkohlerevier
18209,§11/12,Steinkohlenbergbaugebiete
04565,§2,Mitteldeutsches Braunkohlerevier
66780,§11/12,Steinkohlenbergbaugebiete
02894,§2,Lausitzer Braunkohlerevier
18276,§11/12,Steinkohlenbergbaugebiete
38368,§11/12,Steinkohlenbergbaugebiete
18230,§11/12,Steinkohlenbergbaugebiete
18211,§11/12,Steinkohlenbergbaugebiete
66292,§11/12,Steinkohlenbergbaugebiete
02956,§2,Lausitzer Braunkohlerevier
15910,§2,Lausitzer Braunkohlerevier
04932,§2,Lausitzer Braunkohlerevier
52159,§2,Rheinisches Braunkohlerevier
18184,§11/12,Steinkohlenbergbaugebiete
41569,§2,Rheinisches Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
04571,§2,Mitteldeutsches Braunkohlerevier
02929,§2,Lausitzer Braunkohlerevier
18182,§11/12,Steinkohlenbergbaugebiete
03238,§2,Lausitzer Braunkohlerevier
01945,§2,Lausitzer Braunkohlerevier
18246,§11/12,Steinkohlenbergbaugebiete
18258,§11/12,Steinkohlenbergbaugebiete
66111,§11/12,Steinkohlenbergbaugebiete
66113,§11/12,Steinkohlenbergbaugebiete
66115,§11/12,Steinkohlenbergbaugebiete
66117,§11/12,Steinkohlenbergbaugebiete
66119,§11/12,Steinkohlenbergbaugebiete
66121,§11/12,Steinkohlenbergbaugebiete
66123,§11/12,Steinkohlenbergbaugebiete
66125,§11/12,Steinkohlenbergbaugebiete
66126,§11/12,Steinkohlenbergbaugebiete
66127,§11/12,Steinkohlenbergbaugebiete
66128,§11/12,Steinkohlenbergbaugebiete
66129,§11/12,Steinkohlenbergbaugebiete
66130,§11/12,Steinkohlenbergbaugebiete
66131,§11/12,Steinkohlenbergbaugebiete
66132,§11/12,Steinkohlenbergbaugebiete
66133,§11/12,Steinkohlenbergbaugebiete
66740,§11/12,Steinkohlenbergbaugebiete
66793,§11/12,Steinkohlenbergbaugebiete
03238,§2,Lausitzer Braunkohlerevier
06198,§2,Mitteldeutsches Braunkohlerevier
06792,§2,Mitteldeutsches Braunkohlerevier
06794,§2,Mitteldeutsches Braunkohlerevier
06796,§2,Mitteldeutsches Braunkohlerevier
06809,§2,Mitteldeutsches Braunkohlerevier
06526,§2,Mitteldeutsches Braunkohlerevier
18190,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
18239,§11/12,Steinkohlenbergbaugebiete
03172,§2,Lausitzer Braunkohlerevier
03253,§2,Lausitzer Braunkohlerevier
01968,§2,Lausitzer Braunkohlerevier
01993,§2,Lausitzer Braunkohlerevier
01994,§2,Lausitzer Braunkohlerevier
01998,§2,Lausitzer Braunkohlerevier
02681,§2,Lausitzer Braunkohlerevier
04435,§2,Mitteldeutsches Braunkohlerevier
06258,§2,Mitteldeutsches Braunkohlerevier
53937,§2,Rheinisches Braunkohlerevier
02959,§2,Lausitzer Braunkohlerevier
15910,§2,Lausitzer Braunkohlerevier
04936,§2,Lausitzer Braunkohlerevier
66839,§11/12,Steinkohlenbergbaugebiete
03096,§2,Lausitzer Braunkohlerevier
04626,§11/12,Steinkohlenbergbaugebiete
01877,§2,Lausitzer Braunkohlerevier
06712,§2,Mitteldeutsches Braunkohlerevier
02899,§2,Lausitzer Braunkohlerevier
02708,§2,Lausitzer Braunkohlerevier
03253,§2,Lausitzer Braunkohlerevier
06618,§2,Mitteldeutsches Braunkohlerevier
12529,§2,Lausitzer Braunkohlerevier
04916,§2,Lausitzer Braunkohlerevier
38364,§11/12,Steinkohlenbergbaugebiete
15910,§2,Lausitzer Braunkohlerevier
04509,§2,Mitteldeutsches Braunkohlerevier
02829,§2,Lausitzer Braunkohlerevier
17166,§11/12,Steinkohlenbergbaugebiete
04928,§2,Lausitzer Braunkohlerevier
06279,§2,Mitteldeutsches Braunkohlerevier
15732,§2,Lausitzer Braunkohlerevier
18258,§11/12,Steinkohlenbergbaugebiete
66773,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
01987,§2,Lausitzer Braunkohlerevier
17168,§11/12,Steinkohlenbergbaugebiete
01936,§2,Lausitzer Braunkohlerevier
15755,§2,Lausitzer Braunkohlerevier
58239,§11/12,Steinkohlenbergbaugebiete
15913,§2,Lausitzer Braunkohlerevier
06317,§2,Mitteldeutsches Braunkohlerevier
02782,§2,Lausitzer Braunkohlerevier
52538,§2,Rheinisches Braunkohlerevier
59379,§11/12,Steinkohlenbergbaugebiete
18195,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
01968,§2,Lausitzer Braunkohlerevier
01996,§2,Lausitzer Braunkohlerevier
52152,§2,Rheinisches Braunkohlerevier
02689,§2,Lausitzer Braunkohlerevier
38387,§11/12,Steinkohlenbergbaugebiete
03249,§2,Lausitzer Braunkohlerevier
02979,§2,Lausitzer Braunkohlerevier
15913,§2,Lausitzer Braunkohlerevier
03130,§2,Lausitzer Braunkohlerevier
18198,§11/12,Steinkohlenbergbaugebiete
04617,§11/12,Steinkohlenbergbaugebiete
18209,§11/12,Steinkohlenbergbaugebiete
06268,§2,Mitteldeutsches Braunkohlerevier
01920,§2,Lausitzer Braunkohlerevier
18246,§11/12,Steinkohlenbergbaugebiete
01904,§2,Lausitzer Braunkohlerevier
15938,§2,Lausitzer Braunkohlerevier
52222,§2,Rheinisches Braunkohlerevier
52223,§2,Rheinisches Braunkohlerevier
52224,§2,Rheinisches Braunkohlerevier
06667,§2,Mitteldeutsches Braunkohlerevier
15913,§2,Lausitzer Braunkohlerevier
18195,§11/12,Steinkohlenbergbaugebiete
06536,§2,Mitteldeutsches Braunkohlerevier
06369,§2,Mitteldeutsches Braunkohlerevier
06386,§2,Mitteldeutsches Braunkohlerevier
06388,§2,Mitteldeutsches Braunkohlerevier
17168,§11/12,Steinkohlenbergbaugebiete
66280,§11/12,Steinkohlenbergbaugebiete
38373,§11/12,Steinkohlenbergbaugebiete
38376,§11/12,Steinkohlenbergbaugebiete
18249,§11/12,Steinkohlenbergbaugebiete
04425,§2,Mitteldeutsches Braunkohlerevier
03185,§2,Lausitzer Braunkohlerevier
03185,§2,Lausitzer Braunkohlerevier
18195,§11/12,Steinkohlenbergbaugebiete
17166,§11/12,Steinkohlenbergbaugebiete
01945,§2,Lausitzer Braunkohlerevier
06682,§2,Mitteldeutsches Braunkohlerevier
15755,§2,Lausitzer Braunkohlerevier
06179,§2,Mitteldeutsches Braunkohlerevier
04808,§2,Mitteldeutsches Braunkohlerevier
18195,§11/12,Steinkohlenbergbaugebiete
04626,§11/12,Steinkohlenbergbaugebiete
18184,§11/12,Steinkohlenbergbaugebiete
